country,vote_variable,pastvote_combined,vote_partycode,notes
United Kingdom,pastvote_ge_2019,1,1,
United Kingdom,pastvote_ge_2020,2,2,
United Kingdom,pastvote_ge_2021,3,3,
United Kingdom,pastvote_ge_2022,4,4,
United Kingdom,pastvote_ge_2023,5,5,
United Kingdom,pastvote_ge_2024,6,6,
United Kingdom,pastvote_ge_2025,7,7,
France,Presidential_vote17,4,17,
France,Presidential_vote18,5,13,
France,Presidential_vote19,6,16,
France,Presidential_vote20,7,14,
France,Presidential_vote21,8,300,"not included in the New_Q59 parties; however, because some people say they voted for this party and didn't provide a closest party, I create a special code just for them so we can merge with Parlgov data"
France,Presidential_vote22,9,15,
France,Presidential_vote23,10,,other
Germany,q_BTW21_Quote,1,19,
Germany,q_BTW21_Quote,2,20,
Germany,q_BTW21_Quote,3,21,
Germany,q_BTW21_Quote,4,22,
Germany,q_BTW21_Quote,5,23,
Germany,q_BTW21_Quote,6,24,
Denmark,FT19_DK,1,61,
Denmark,FT19_DK,2,62,
Denmark,FT19_DK,3,63,
Denmark,FT19_DK,4,66,
Denmark,FT19_DK,5,67,
Denmark,FT19_DK,6,68,
Denmark,FT19_DK,7,69,
Denmark,FT19_DK,8,71,
Denmark,FT19_DK,9,72,
Denmark,FT19_DK,15,73,
Denmark,FT19_DK,17,64,
Denmark,FT19_DK,18,65,
Denmark,FT19_DK,19,70,
Sweden,FT18,1,74,
Sweden,FT18,2,75,
Sweden,FT18,3,76,
Sweden,FT18,4,77,
Sweden,FT18,5,78,
Sweden,FT18,6,79,
Sweden,FT18,7,80,
Sweden,FT18,10,81,
Finland,FT19,1,82,
Finland,FT19,2,83,
Finland,FT19,3,84,
Finland,FT19,4,85,
Finland,FT19,5,86,
Finland,FT19,6,87,
Finland,FT19,7,88,
Finland,FT19,8,89,
Finland,FT19,18,90,
Italy,PDL_Vote_18_Quote_IT,1,42,
Italy,PDL_Vote_18_Quote_IT,2,43,
Italy,PDL_Vote_18_Quote_IT,3,44,
Italy,PDL_Vote_18_Quote_IT,4,45,
Italy,PDL_Vote_18_Quote_IT,5,46,
Italy,PDL_Vote_18_Quote_IT,6,47,
Italy,PDL_Vote_18_Quote_IT,7,48,
Spain,ES_pastvoteNov_2019,1,25,
Spain,ES_pastvoteNov_2019,2,26,
Spain,ES_pastvoteNov_2019,3,27,
Spain,ES_pastvoteNov_2019,4,28,
Spain,ES_pastvoteNov_2019,5,29,
Spain,ES_pastvoteNov_2019,6,30,
Spain,ES_pastvoteNov_2019,7,31,
Spain,ES_pastvoteNov_2019,8,32,
Spain,ES_pastvoteNov_2019,9,33,
Spain,ES_pastvoteNov_2019,10,34,
Spain,ES_pastvoteNov_2019,11,35,
Spain,ES_pastvoteNov_2019,12,36,
Spain,ES_pastvoteNov_2019,13,37,
Spain,ES_pastvoteNov_2019,14,38,
Spain,ES_pastvoteNov_2019,15,39,
Spain,ES_pastvoteNov_2019,16,40,
Spain,ES_pastvoteNov_2019,17,41,
Poland,pastvoteSejm_2019,1,91,
Poland,pastvoteSejm_2019,2,92,
Poland,pastvoteSejm_2019,3,93,
Poland,pastvoteSejm_2019,4,94,
Poland,pastvoteSejm_2019,5,95,
Greece,pastvote2019EL,1,118,
Greece,pastvote2019EL,2,119,
Greece,pastvote2019EL,3,120,
Greece,pastvote2019EL,4,121,
Greece,pastvote2019EL,5,122,
Greece,pastvote2019EL,6,123,
Greece,pastvote2019EL,7,124,
Bulgaria,pastvote21BG_we,1,125,
Bulgaria,pastvote21BG_we,2,126,
Bulgaria,pastvote21BG_we,3,127,
Bulgaria,pastvote21BG_we,4,128,
Bulgaria,pastvote21BG_we,5,129,
Bulgaria,pastvote21BG_we,6,130,
Croatia,pastvote2020HR,1,139,
Croatia,pastvote2020HR,2,140,
Croatia,pastvote2020HR,3,141,
Croatia,pastvote2020HR,4,142,
Croatia,pastvote2020HR,5,143,
Croatia,pastvote2020HR,6,144,
Hungary,pastvote2020HU,1,103,
Hungary,pastvote2020HU,2,104,
Hungary,pastvote2020HU,3,105,
Hungary,pastvote2020HU,4,106,
Hungary,pastvote2020HU,5,107,
Hungary,pastvote2020HU,6,108,
Hungary,pastvote2020HU,7,109,
Lithuania,pastvote2020LT,1,110,
Lithuania,pastvote2020LT,2,111,
Lithuania,pastvote2020LT,3,112,
Lithuania,pastvote2020LT,4,113,
Lithuania,pastvote2020LT,5,114,
Lithuania,pastvote2020LT,6,115,
Lithuania,pastvote2020LT,7,116,
Lithuania,pastvote2020LT,8,117,
Netherlands,pastvote2020NL,1,49,
Netherlands,pastvote2020NL,2,50,
Netherlands,pastvote2020NL,3,51,
Netherlands,pastvote2020NL,4,52,
Netherlands,pastvote2020NL,5,53,
Netherlands,pastvote2020NL,6,54,
Netherlands,pastvote2020NL,7,55,
Netherlands,pastvote2020NL,8,60,
Romania,pastvote2020RO,1,96,
Romania,pastvote2020RO,2,97,
Romania,pastvote2020RO,3,98,
Romania,pastvote2020RO,4,99,
Romania,pastvote2020RO,5,100,
Romania,pastvote2020RO,6,101,
Romania,pastvote2020RO,7,102,
Slovakia,pastvote20SK,1,131,
Slovakia,pastvote20SK,2,132,
Slovakia,pastvote20SK,3,133,
Slovakia,pastvote20SK,4,134,
Slovakia,pastvote20SK,5,135,
Slovakia,pastvote20SK,6,136,
Slovakia,pastvote20SK,7,137,
Slovakia,pastvote20SK,8,138,
