New_Q59,party_name,incumbent_apr_2023
1,Conservative Party,1
2,Labour,0
3,Liberal Democrats,0
4,Scottish National Party (SNP),0
5,Plaid Cymru,0
6,Brexit Party,0
7,Green Party,0
8,DUP,0
9,Sinn Fein,0
10,SDLP,0
11,UUP,0
12,Alliance,0
13,La République en marche,1
14,Les Républicains,0
15,Front national,0
16,La France insoumise,0
17,Parti socialiste,0
18,Mouvement démocrate,1
19,SPD,1
20,CDU/CSU,0
21,Bündnis 90/Die Grünen,1
22,AfD,0
23,FDP,1
24,Die Linke,0
25,PSOE,1
26,PP,0
27,Vox,0
28,Unidas Podemos+Podemos EU,1
29,Ciudadanos,0
30,ERC-Sobiranistes,0
31,En Comú Podem,1
32,Junts-JuntsxCat,0
33,Más País-Equo,0
34,EAJ-PNV,0
35,EH Bildu,0
36,CUP-PR,0
37,PACMA,0
38,Més Compromís,0
39,BNG,0
40,CCa-NC,0
41,PRC,0
42,Movimento 5 Stelle,0
43,Lega,1
44,Forza Italia,1
45,Fratelli d'Italia,1
46,Partito Democratico,0
47,#NAME?,0
48,Azione-Italia Viva,0
49,Volkspartij voor Vrijheid en Democratie (VVD),1
50,Partij voor de Vrijheid (PVV),0
51,Christen Democratisch Appèl (CDA),1
52,Democraten 66 (D66),1
53,GroenLinks,0
54,Socialistische Partij (SP),0
55,Partij van de Arbeid (PvdA),0
56,ChristenUnie/SGP,0
57,50PLUS,0
58,Partij voor de Dieren,0
59,Denk,0
60,Forum voor Democratie,0
61,Socialdemokratiet,1
62,Radikale Venstre,0
63,Det Konservative Folkeparti,0
64,Nye Borgerlige,0
65,Partiet Klaus Riskær Pedersen,0
66,Socialistisk Folkeparti,0
67,Liberal Alliance,0
68,Kristendemokraterne,0
69,Dansk Folkeparti,0
70,Stram Kurs,0
71,Venstre,1
72,Enhedslisten,0
73,Alternativet,0
74,Moderaterna,1
75,Centerpartiet,0
76,Liberalerna,1
77,Kristdemokraterna,1
78,Miljöpartiet,0
79,Socialdemokraterna,0
80,Vänsterpartiet,0
81,Sverigedemokraterna,0
82,Keskusta,1
83,Kokoomus,0
84,"SDP, Sosialidemokraattinen Puolue",1
85,Vasemmistoliitto,1
86,Vihreä liitto,1
87,Kristillisdemokraatit,0
88,"RKP, Suomen ruotsalainen kansanpuolue",1
89,Perussuomalaiset,0
90,Sininen tulevaisuus,0
91,Koalicja Polska,0
92,"Prawo I Sprawiedliwość, PiS",1
93,Lewica,0
94,Konfederacja Wolność I Niepodległość,0
95,"Koalicja Obywatelska, KO",0
96,Partidul Social Democrat (PSD),1
97,Partidul Național Liberal (PNL),1
98,Alianța 2020 USR-PLUS,0
99,Alianța pentru Unirea Românilor (AUR),0
100,Romániai Magyar Demokrata Szövetség (RMDSZ)/ Uniunea Democrată Maghiară din România (UDMR),1
101,Partidul Mișcarea Populară (PMP),0
102,PRO România (PRO),0
103,Fidesz–KDNP pártszövetség,1
104,Egységben Magyarországért,0
105,Mi Hazánk Mozgalom (MHM),0
106,Lehet Más a Politika (LMP),0
107,Demokratikus Koalíció (DK),0
108,Momentum Mozgalom (Momentum),0
109,Együtt – A Korszakváltók Pártja (Együtt),0
110,"Tėvynės sąjunga – Lietuvos krikščionys demokratai, TS-LKD",1
111,"Lietuvos valstiečių ir žaliųjų sąjunga, LVŽS",0
112,"Darbo partija, DP",0
113,"Lietuvos socialdemokratų partija, LSDP",0
114,Laisvės partija,1
115,"Lietuvos Respublikos Liberalų sąjūdis, LRLS",1
116,"Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga, LLRA–KŠS",0
117,"Lietuvos regionų partija, LRP",0
118,Νέα Δημοκρατία (ΝΔ),1
119,ΣΥΡΙΖΑ,0
120,Κίνημα Αλλαγής (ΚΙΝΑΛ),0
121,Κομμουνιστικό Κόμμα Ελλάδας,0
122,Ελληνική Λύση,0
123,"Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής, MeRA25",0
124,Χρυσή Αυγή,0
125,ГЕРБ-СДС,1
126,"Продължаваме промяната /  Демократична България, ДБ",0
127,"Движение за права и свободи, ДПС",0
128,Възраждане,0
129,БСП за България,0
130,"Демократична България, ДБ",0
131,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA: OĽANO-NOVA-KÚ-ZMENA Z",1
132,"Smer – sociálna demokracia, SMER–SD",0
133,Sme rodina,1
134,"Ľudová strana naše Slovensko, ĽSNS",0
135,Progresívne Slovensko SPOLU – občianska demokracia,0
136,"Sloboda a solidarita, SaS",1
137,Za ľudí,1
138,"Kresťanskodemokratické hnutie, KDH",0
139,"Hrvatska demokratska zajednica, HDZ",1
140,Restart koalicija,0
141,"Domovinski pokret Miroslava Škore, DPMŠ",0
142,Most,0
143,Zeleno–lijeva koalicija,0
144,Centar,0
145,None of these,0
146,Don't know,0
147,Български възход,0
148,Italexit,0
149,Italia Sovrana e Popolare,0
150,Unione Popolare,0
