country,start_date,party_id,party_name_english,cabinet_party,prime_minister,survey
Bulgaria,2023-06-06,982,Bulgarian Socialist Party,0,0,Spring 2024
Bulgaria,2023-06-06,1286,Movement for Rights and Freedoms,0,0,Spring 2024
Bulgaria,2023-06-06,1541,Citizens for European Development of Bulgaria,1,0,Spring 2024
Bulgaria,2023-06-06,2836,There Is Such a People,0,0,Spring 2024
Bulgaria,2023-06-06,2847,We Continue the Change,1,1,Spring 2024
Bulgaria,2023-06-06,2640,Revival,0,0,Spring 2024
Germany,2021-12-08,2253,Alternative for Germany,0,0,Spring 2024
Germany,2021-12-08,772,Alliance 90 / Greens,1,0,Spring 2024
Germany,2021-12-08,1727,Christian Democratic Union / Christian Social Union,0,0,Spring 2024
Germany,2021-12-08,543,Free Democratic Party,1,0,Spring 2024
Germany,2021-12-08,791,PDS | The Left,0,0,Spring 2024
Germany,2021-12-08,558,Social Democratic Party of Germany,1,1,Spring 2024
Germany,2021-12-08,2850,South Schleswig Voter League,0,0,Spring 2024
Denmark,2022-12-15,2567,The Alternative,0,0,Spring 2024
Denmark,2022-12-15,2888,Denmark Demokrats,0,0,Spring 2024
Denmark,2022-12-15,1418,Danish Peoples Party,0,0,Spring 2024
Denmark,2022-12-15,306,Red-Green Alliance,0,0,Spring 2024
Denmark,2022-12-15,1891,Community of the People,0,0,Spring 2024
Denmark,2022-12-15,1894,Social Democratic Party (Faroe Islands),0,0,Spring 2024
Denmark,2022-12-15,590,Conservatives,0,0,Spring 2024
Denmark,2022-12-15,2887,Moderates,1,0,Spring 2024
Denmark,2022-12-15,2781,The New Right,0,0,Spring 2024
Denmark,2022-12-15,376,New-Liberal Alliance,0,0,Spring 2024
Denmark,2022-12-15,211,Danish Social Liberal Party,0,0,Spring 2024
Denmark,2022-12-15,1644,Socialist Peoples Party,0,0,Spring 2024
Denmark,2022-12-15,1892,Union Party (Faroe Islands),0,0,Spring 2024
Denmark,2022-12-15,1629,Social Democrats,1,1,Spring 2024
Denmark,2022-12-15,74,Forward (Greenland),0,0,Spring 2024
Denmark,2022-12-15,1605,Liberal Party,1,0,Spring 2024
Spain,2020-01-07,645,People's Alliance-Party,0,0,Spring 2024
Spain,2020-01-07,520,Galician Nationalist Bloc,0,0,Spring 2024
Spain,2020-01-07,234,Canary Coalition,0,0,Spring 2024
Spain,2020-01-07,2605,Democratic Convergence | Together for Catalonia,0,0,Spring 2024
Spain,2020-01-07,2792,Popular Unity Candidacy,0,0,Spring 2024
Spain,2020-01-07,2375,Citizens -- Party of the Citizenry,0,0,Spring 2024
Spain,2020-01-07,2607,Compromise | A la valenciana,0,0,Spring 2024
Spain,2020-01-07,2606,In Common We Can,0,0,Spring 2024
Spain,2020-01-07,2603,Basque Country Unite,0,0,Spring 2024
Spain,2020-01-07,2604,En Masse | Common Group of the Left,0,0,Spring 2024
Spain,2020-01-07,757,Republican Left of Catalonia,0,0,Spring 2024
Spain,2020-01-07,2804,Equo,0,0,Spring 2024
Spain,2020-01-07,2723,Sum Navarre,0,0,Spring 2024
Spain,2020-01-07,2376,We Can,0,0,Spring 2024
Spain,2020-01-07,118,Communist Party | United Left,1,0,Spring 2024
Spain,2020-01-07,1361,Basque Nationalist Party,0,0,Spring 2024
Spain,2020-01-07,902,Spanish Socialist Workers Party,1,1,Spring 2024
Spain,2020-01-07,2724,United We Can,0,0,Spring 2024
Spain,2020-01-07,2380,Voice,0,0,Spring 2024
Spain,2020-01-07,2294,one seat,0,0,Spring 2024
Finland,2023-06-20,1292,Democratic Union | Left Alliance,0,0,Spring 2024
Finland,2023-06-20,1463,Christian Democrats,1,0,Spring 2024
Finland,2023-06-20,94,Centre Party,0,0,Spring 2024
Finland,2023-06-20,1118,National Coalition Party,1,1,Spring 2024
Finland,2023-06-20,2801,Movement Now,0,0,Spring 2024
Finland,2023-06-20,585,Swedish People's Party,1,0,Spring 2024
Finland,2023-06-20,200,Finnish Party | True Finns,1,0,Spring 2024
Finland,2023-06-20,395,Social Democratic Party of Finland,0,0,Spring 2024
Finland,2023-06-20,1062,Green League,0,0,Spring 2024
France,2022-06-19,2644,Unbowed France,0,0,Spring 2024
France,2022-06-19,270,National Rally,0,0,Spring 2024
France,2022-06-19,2857,Horizons,1,0,Spring 2024
France,2022-06-19,2643,The Republic Onwards! | Renaissance,1,1,Spring 2024
France,2022-06-19,509,Union for French Democracy | Democratic Movement,1,0,Spring 2024
France,2022-06-19,2273,Union of Democrats and Independents,0,0,Spring 2024
France,2022-06-19,658,Union for a Popular Movement | The Republicans,0,0,Spring 2024
France,2022-06-19,2862,"Act, the constructive right",1,0,Spring 2024
France,2022-06-19,2858,other centre,0,0,Spring 2024
France,2022-06-19,285,other right,0,0,Spring 2024
France,2022-06-19,177,other left,0,0,Spring 2024
France,2022-06-19,1328,others,0,0,Spring 2024
France,2022-06-19,947,no party affiliation,0,0,Spring 2024
France,2022-06-19,2859,one seat,0,0,Spring 2024
United Kingdom,2022-10-25,2731,Alliance Party of Northern Ireland,0,0,Spring 2024
United Kingdom,2022-10-25,773,Conservatives,1,1,Spring 2024
United Kingdom,2022-10-25,319,Democratic Unionist Party,0,0,Spring 2024
United Kingdom,2022-10-25,467,Green Party,0,0,Spring 2024
United Kingdom,2022-10-25,1556,Labour,0,0,Spring 2024
United Kingdom,2022-10-25,659,Liberals,0,0,Spring 2024
United Kingdom,2022-10-25,311,Plaid Cymru,0,0,Spring 2024
United Kingdom,2022-10-25,1023,Social Democratic and Labour Party,0,0,Spring 2024
United Kingdom,2022-10-25,689,Sinn Fein,0,0,Spring 2024
United Kingdom,2022-10-25,1284,Scottish National Party,0,0,Spring 2024
Greece,2023-06-26,2780,Greek Solution,0,0,Spring 2024
Greece,2023-06-26,614,Communist Party of Greece,0,0,Spring 2024
Greece,2023-06-26,2596,Popular Unity | Course of Freedom,0,0,Spring 2024
Greece,2023-06-26,47,New Democracy,1,1,Spring 2024
Greece,2023-06-26,2901,Victory,0,0,Spring 2024
Greece,2023-06-26,1338,Panhellenic Socialist Movement,0,0,Spring 2024
Greece,2023-06-26,1592,Coalition of the Radical Left,0,0,Spring 2024
Greece,2023-06-26,2902,Spartans,0,0,Spring 2024
Croatia,2020-07-23,2809,Homeland Movement,0,0,Spring 2024
Croatia,2020-07-23,276,Croatian Democratic Union,1,1,Spring 2024
Croatia,2020-07-23,1384,Croatian People's Party -- Liberal Democrats,0,0,Spring 2024
Croatia,2020-07-23,2810,We Can! -- Political Platform,0,0,Spring 2024
Croatia,2020-07-23,2615,Bridge of Independent Lists,0,0,Spring 2024
Croatia,2020-07-23,2614,People's Party -- Reformists,0,0,Spring 2024
Croatia,2020-07-23,2772,Intelligently,0,0,Spring 2024
Croatia,2020-07-23,2133,Independent Democratic Serb Party,1,0,Spring 2024
Croatia,2020-07-23,1493,Social Democratic Party of Croatia,0,0,Spring 2024
Croatia,2020-07-23,2192,ethnic,1,0,Spring 2024
Hungary,2022-05-16,1970,Democratic Coalition,0,0,Spring 2024
Hungary,2022-05-16,921,Fidesz -- Hungarian Civic Party / Christian Democratic People's Party,1,1,Spring 2024
Hungary,2022-05-16,921,Fidesz -- Hungarian Civic Union,0,0,Spring 2024
Hungary,2022-05-16,600,Jobbik Movement for a Better Hungary,0,0,Spring 2024
Hungary,2022-05-16,434,Christian Democratic People's Party,1,0,Spring 2024
Hungary,2022-05-16,403,Politics Can Be Different,0,0,Spring 2024
Hungary,2022-05-16,2745,Our Homeland Movement,0,0,Spring 2024
Hungary,2022-05-16,2659,Momentum Movement,0,0,Spring 2024
Hungary,2022-05-16,1591,Hungarian Socialist Party,0,0,Spring 2024
Hungary,2022-05-16,2349,Dialogue for Hungary,0,0,Spring 2024
Hungary,2022-05-16,1617,no party affiliation,0,0,Spring 2024
Hungary,2022-05-16,952,one seat,0,0,Spring 2024
Italy,2022-10-22,2737,More Europe,0,0,Spring 2024
Italy,2022-10-22,596,Go Italy -- The People of Freedom,1,0,Spring 2024
Italy,2022-10-22,2154,Brothers of Italy,1,1,Spring 2024
Italy,2022-10-22,2794,Italy Alive,0,0,Spring 2024
Italy,2022-10-22,1436,North League,1,0,Spring 2024
Italy,2022-10-22,2155,Five Star Movement,0,0,Spring 2024
Italy,2022-10-22,382,Democratic Party,0,0,Spring 2024
Italy,2022-10-22,1278,Italian Democratic Socialists | Party,0,0,Spring 2024
Italy,2022-10-22,1030,South Tyrol Peoples Party,0,0,Spring 2024
Italy,2022-10-22,226,Union / Centre,0,0,Spring 2024
Italy,2022-10-22,825,others,0,0,Spring 2024
Italy,2022-10-22,2302,one seat,0,0,Spring 2024
Lithuania,2020-11-24,581,Labour Party,0,0,Spring 2024
Lithuania,2020-11-24,28,Election Action of Lithuania's Poles,0,0,Spring 2024
Lithuania,2020-11-24,2634,Lithuanian Freedom Union (Liberals),0,0,Spring 2024
Lithuania,2020-11-24,2805,Freedom Party,1,0,Spring 2024
Lithuania,2020-11-24,482,Liberals Movement of the Republic of Lithuania,1,0,Spring 2024
Lithuania,2020-11-24,2763,Social Democratic Labour Party of Lithuania,0,0,Spring 2024
Lithuania,2020-11-24,1277,Lithuanian Social Democratic Party,0,0,Spring 2024
Lithuania,2020-11-24,191,Lithuanian Peasant Union,0,0,Spring 2024
Lithuania,2020-11-24,21,Lithuanian Green Party,0,0,Spring 2024
Lithuania,2020-11-24,1045,Homeland Union,1,1,Spring 2024
Lithuania,2020-11-24,58,no party affiliation,0,0,Spring 2024
Netherlands,2022-01-10,2109,50PLUS,0,0,Spring 2024
Netherlands,2022-01-10,2824,Farmer-Citizen Movement,0,0,Spring 2024
Netherlands,2022-01-10,235,Christian Democratic Appeal,1,0,Spring 2024
Netherlands,2022-01-10,1206,ChristianUnion,1,0,Spring 2024
Netherlands,2022-01-10,345,Democrats 66,1,0,Spring 2024
Netherlands,2022-01-10,2641,Think,0,0,Spring 2024
Netherlands,2022-01-10,2642,Forum for Democracy,0,0,Spring 2024
Netherlands,2022-01-10,756,GreenLeft,0,0,Spring 2024
Netherlands,2022-01-10,2823,Right Answer 2021,0,0,Spring 2024
Netherlands,2022-01-10,1501,Party for Freedom,0,0,Spring 2024
Netherlands,2022-01-10,742,Labour Party,0,0,Spring 2024
Netherlands,2022-01-10,990,Party for the Animals,0,0,Spring 2024
Netherlands,2022-01-10,1251,Political Reformed Party,0,0,Spring 2024
Netherlands,2022-01-10,357,Socialist Party,0,0,Spring 2024
Netherlands,2022-01-10,2735,Volt Netherlands,0,0,Spring 2024
Netherlands,2022-01-10,1409,People's Party for Freedom and Democracy,1,1,Spring 2024
Netherlands,2022-01-10,2288,one seat,0,0,Spring 2024
Poland,2019-11-15,1104,Democratic | Freedom | Union,0,0,Spring 2024
Poland,2019-11-15,2600,Kukiz'15,0,0,Spring 2024
Poland,2019-11-15,2602,Coalition for the Renewal of the Republic -- Liberty and Hope,0,0,Spring 2024
Poland,2019-11-15,2790,Left Together,0,0,Spring 2024
Poland,2019-11-15,900,German minority,0,0,Spring 2024
Poland,2019-11-15,512,Civic Platform,1,1,Spring 2024
Poland,2019-11-15,664,Polish People's Party,1,0,Spring 2024
Poland,2019-11-15,528,Law and Justice,0,0,Spring 2024
Poland,2019-11-15,2398,National Movement,0,0,Spring 2024
Poland,2019-11-15,629,Democratic Left Alliance,1,0,Spring 2024
Poland,2019-11-15,2740,Spring,1,0,Spring 2024
Poland,2019-11-15,1011,no party affiliation,0,0,Spring 2024
Poland,2019-11-15,2287,one seat,0,0,Spring 2024
Romania,2021-11-25,2807,Alliance for the Unity of Romanians,0,0,Spring 2024
Romania,2021-11-25,1015,National Liberal Party,1,1,Spring 2024
Romania,2021-11-25,1120,Social Democratic Party,1,0,Spring 2024
Romania,2021-11-25,948,Democratic Union of Hungarians in Romania,1,0,Spring 2024
Romania,2021-11-25,2646,"Save Romania Union | Party of Liberty, Unity and Solidarity",0,0,Spring 2024
Romania,2021-11-25,425,Romanian ethnic minorities parties,0,0,Spring 2024
Slovakia,2023-05-15,586,People's Party Our Slovakia,0,0,Spring 2024
Slovakia,2023-05-15,1759,Ordinary People and Independent,0,0,Spring 2024
Slovakia,2023-05-15,2623,We are family -- Boris Kollar,0,0,Spring 2024
Slovakia,2023-05-15,1460,Freedom and Solidarity,0,0,Spring 2024
Slovakia,2023-05-15,220,Direction -- Social Democracy,1,1,Spring 2024
Slovakia,2023-05-15,2796,For the People,0,0,Spring 2024
Slovakia,2023-05-15,1359,no party affiliation,0,0,Spring 2024
Sweden,2022-10-17,1461,Centre Party,0,0,Spring 2024
Sweden,2022-10-17,892,People's Party,1,0,Spring 2024
Sweden,2022-10-17,282,Christian Democrats,1,0,Spring 2024
Sweden,2022-10-17,657,Moderate Party,1,1,Spring 2024
Sweden,2022-10-17,1154,Greens,0,0,Spring 2024
Sweden,2022-10-17,904,Social Democrats,0,0,Spring 2024
Sweden,2022-10-17,1546,Sweden Democrats,0,0,Spring 2024
Sweden,2022-10-17,882,Left Party (Communists),0,0,Spring 2024
