country,New_Q59,n,Party name + notes,prime_minister,cabinet_party,Links for political party,Link for cabinet of country (1 per country)
Bulgaria,128,101,Revival,0,0,https://en.wikipedia.org/wiki/Revival_(Bulgarian_political_party),https://en.wikipedia.org/wiki/Denkov_Government
Bulgaria,147,15,Bulgarian Rise (BV),0,0,,
Bulgaria,268,78,PP - We continue to Change -- denkov government,1,1,https://en.wikipedia.org/wiki/We_Continue_the_Change ,
Bulgaria,269,51,"DB - Demcratic Bulgaria -- coalition with Yes, Bulgaria! And Democrats for a strong Bulgaria -- has ministers in Denkov government",0,1,https://en.wikipedia.org/wiki/Democratic_Bulgaria,
Bulgaria,270,13,The Left -- extra-parliamentary,0,0,https://en.wikipedia.org/wiki/The_Left_(Bulgaria)#2024 ,
Bulgaria,271,62,There is such a people -- part of opposition,0,0,https://en.wikipedia.org/wiki/The_Left_(Bulgaria)#2024 ,
Croatia,140,14,Restart coalition -- now changed to Rivers of Justice -- coalition including: Social Democratic Party of Croatia (SDP); Centre (Centar); Croatian Peasant Party (HSS); Civic Liberal Alliance (Glas); Dalija Orešković and People with a First and Last Name (DO i SIP); People's Party – Reformists (NS-R),0,0,https://en.wikipedia.org/wiki/Rivers_of_Justice#Member_parties,https://en.wikipedia.org/wiki/Cabinet_of_Andrej_Plenkovi%C4%87_II
Croatia,274,125,Social Democratic Party of Croatia -- current president used to be president of party,0,0,https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Croatia#Parliament_(Sabor) ,
Croatia,275,21,Social Democrats -- Founded in 2022 -- extra-parliamentary,0,0,https://en.wikipedia.org/wiki/Social_Democrats_(Croatia) ,
Croatia,276,9,Croatian Sovereignists -- opposition government -- part of Most-led coalition in 2024,0,0,https://en.wikipedia.org/wiki/Croatian_Sovereignists ,
Croatia,277,7,The Independent Democratic Serb Party -- 1 minister -- Only croatian parties with minister on this list,0,1,https://en.wikipedia.org/wiki/Independent_Democratic_Serb_Party#Croatian_Parliament ,_II#List_of_ministers
Croatia,278,137,We Can! -- in 2023 part of green-left coalition,0,0,https://en.wikipedia.org/wiki/We_can!_(Croatia)#Parliament_of_Croatia ,
Croatia,279,6,,0,0,,
Croatia,280,3,,0,0,,
Croatia,281,7,,0,0,,
Croatia,283,16,,0,0,,
Croatia,284,5,,0,0,,
Croatia,285,18,,0,0,,
Croatia,286,2,,0,0,,
Croatia,287,2,,0,0,,
Croatia,288,1,,0,0,,
Croatia,289,15,,0,0,,
Croatia,290,5,,0,0,,
