New_Q61,country,n,party_name,politico_poll
1,United Kingdom,793,Conservative Party,28
2,United Kingdom,441,Labour,45
3,United Kingdom,227,Liberal Democrats,10
4,United Kingdom,46,Scottish National Party (SNP),3
5,United Kingdom,7,Plaid Cymru,1
6,United Kingdom,11,Brexit Party,6
8,United Kingdom,22,DUP,NA
9,United Kingdom,18,Sinn Fein,NA
10,United Kingdom,1,SDLP,NA
12,United Kingdom,3,Alliance,NA
13,France,275,La République en marche,22
14,France,63,Les Républicains,11
16,France,556,La France insoumise / Europe Écologie Les Verts (NUPES),25
18,France,20,Mouvement démocrate,NA
19,Germany,43,SPD,19
20,Germany,79,CDU/CSU,29
21,Germany,416,Bündnis 90/Die Grünen,17
22,Germany,967,AfD,15
23,Germany,65,FDP,7
24,Germany,143,Die Linke,4
25,Spain,114,PSOE,24
26,Spain,67,PP,31
27,Spain,906,Vox,15
28,Spain,536,Unidas Podemos+Podemos EU,7
29,Spain,42,Ciudadanos,2
31,Spain,104,En Comú Podem,NA
32,Spain,15,Junts-JuntsxCat,2
42,Italy,297,Movimento 5 Stelle,16
43,Italy,275,Lega,9
44,Italy,102,Forza Italia,7
45,Italy,315,Fratelli d'Italia,29
46,Italy,424,Partito Democratico,20
48,Italy,100,Azione-Italia Viva,8
49,Netherlands,134,Volkspartij voor Vrijheid en Democratie (VVD),13
50,Netherlands,80,Partij voor de Vrijheid (PVV),7
51,Netherlands,36,Christen Democratisch Appèl (CDA),4
52,Netherlands,107,Democraten 66 (D66),7
53,Netherlands,52,GroenLinks,9
54,Netherlands,31,Socialistische Partij (SP),5
55,Netherlands,19,Partij van de Arbeid (PvdA),8
60,Netherlands,380,Forum voor Democratie,3
61,Denmark,225,Socialdemokratiet,22
63,Denmark,66,Det Konservative Folkeparti,6
66,Denmark,56,Socialistisk Folkeparti,14
67,Denmark,231,Liberal Alliance,11
71,Denmark,96,Venstre,9
72,Denmark,533,Enhedslisten,7
74,Sweden,90,Moderaterna,20
75,Sweden,56,Centerpartiet,5
76,Sweden,28,Liberalerna,3
77,Sweden,89,Kristdemokraterna,4
78,Sweden,450,Miljöpartiet,4
79,Sweden,92,Socialdemokraterna,37
80,Sweden,262,Vänsterpartiet,8
81,Sweden,798,Sverigedemokraterna,18
82,Finland,32,Keskusta,11
83,Finland,126,Kokoomus,21
84,Finland,54,"SDP, Sosialidemokraattinen Puolue",20
85,Finland,115,Vasemmistoliitto,7
86,Finland,180,Vihreä liitto,7
88,Finland,55,"RKP, Suomen ruotsalainen kansanpuolue",NA
89,Finland,220,Perussuomalaiset,20
90,Finland,30,Sininen tulevaisuus,NA
92,Poland,372,"Prawo I Sprawiedliwość, PiS",36
93,Poland,91,Lewica,10
94,Poland,104,Konfederacja Wolność I Niepodległość,10
95,Poland,158,"Koalicja Obywatelska, KO",28
96,Romania,152,Partidul Social Democrat (PSD),29
97,Romania,93,Partidul Național Liberal (PNL),18
99,Romania,136,Alianța pentru Unirea Românilor (AUR),20
100,Romania,132,Romániai Magyar Demokrata Szövetség (RMDSZ)/ Uniunea Democrată Maghiară din România (UDMR),4
101,Romania,43,Partidul Mișcarea Populară (PMP),3
103,Hungary,318,Fidesz–KDNP pártszövetség,49
105,Hungary,56,Mi Hazánk Mozgalom (MHM),10
110,Lithuania,233,"Tėvynės sąjunga – Lietuvos krikščionys demokratai, TS-LKD",16
111,Lithuania,133,"Lietuvos valstiečių ir žaliųjų sąjunga, LVŽS",13
112,Lithuania,174,"Darbo partija, DP",4
113,Lithuania,44,"Lietuvos socialdemokratų partija, LSDP",22
114,Lithuania,158,Laisvės partija,5
115,Lithuania,29,"Lietuvos Respublikos Liberalų sąjūdis, LRLS",NA
118,Greece,235,Νέα Δημοκρατία (ΝΔ),34
119,Greece,176,ΣΥΡΙΖΑ,28
120,Greece,14,Κίνημα Αλλαγής (ΚΙΝΑΛ),11
121,Greece,155,Κομμουνιστικό Κόμμα Ελλάδας,7
122,Greece,135,Ελληνική Λύση,5
123,Greece,79,"Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής, MeRA25",5
125,Bulgaria,189,ГЕРБ-СДС,25
126,Bulgaria,123,"Продължаваме промяната /  Демократична България, ДБ",NA
127,Bulgaria,155,"Движение за права и свободи, ДПС",13
128,Bulgaria,139,Възраждане,14
129,Bulgaria,63,БСП за България,9
